# x psi_r psi_i psi2 
 3.963964e-01  2.268489e-01  3.484824e+00 1.219546e+01
 3.973974e-01 -8.073643e-01  3.320819e+00 1.167968e+01
 3.983984e-01 -1.725558e+00  2.860804e+00 1.116175e+01
 3.993994e-01 -2.446223e+00  2.158690e+00 1.064395e+01
 4.004004e-01 -2.909449e+00  1.289783e+00 1.012843e+01
 4.014014e-01 -3.082166e+00  3.427753e-01 9.617244e+00
 4.024024e-01 -2.960558e+00 -5.894018e-01 9.112298e+00
 4.034034e-01 -2.569458e+00 -1.418894e+00 8.615374e+00
 4.044044e-01 -1.958873e+00 -2.071454e+00 8.128105e+00
 4.054054e-01 -1.198065e+00 -2.493314e+00 7.651972e+00
 4.064064e-01 -3.678735e-01 -2.655743e+00 7.188303e+00
 4.074074e-01  4.478670e-01 -2.556889e+00 6.738268e+00
 4.084084e-01  1.170890e+00 -2.220787e+00 6.302881e+00
